page,sentence,head,tail,reldescription,time,inferredtime,type,sourceintext,sourceinfootnote,sourcedate,comments
9,"This report is submitted to the Attorney General pursuant to 28 C.F.R. § 600.8(c), which states that, ""[a]t the conclusion of the Special Counsel's work, he ... shall provide the Attorney General a confidential report explaining the prosecution or declination decisions [the Special Counsel] reached."" ",Special Counsel,Attorney General ,report,,,neutral,,,,
9," In June, the Democratic National Committee and its cyber response team publicly announced that Russian hackers had compromised its computer network.",Russian hackers,Democratic National Committee,hacking,,2016,negative,Democractic National Committee,,,
9,"In late July 2016, soon after WikiLeaks's first release of stolen documents, a foreign government contacted the FBI about a May 2016 encounter with Trump Campaign foreign policy advisor Papadopoulos. ",a foreign government,FBI,contact,16-Jul,,neutral,,,,
9,"In late July 2016, soon after WikiLeaks's first release of stolen documents, a foreign government contacted the FBI about a May 2016 encounter with Trump Campaign foreign policy advisor Papadopoulos. ",a foreign government,Papadopoulos,encounter,16-May,,neutral,,,,
9,Papadopoulos had suggested to a representative of that foreign government that the Trump Campaign had received indications from the Russian government that it could assist the  Campaign through the  anonymous release of information damaging to Democratic presidential candidate Clinton. ,Papadopoulos,foreign government,suggestion,16-May,,neutral,,,,
9,Papadopoulos had suggested to a representative of that foreign government that the Trump Campaign had received indications from the Russian government that it could assist the  Campaign through the  anonymous release of information damaging to Democratic presidential candidate Clinton. ,Russian government,Trump Campaign,assistance,16-May,,positive,,,,
9,"That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities. ",FBI,Trump Campaign,investigation,31/7/2016,,neutral,,,,
9,"That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities. ",Trump Campaign,Russian government,coordination,,2016,positive,,,,
9,"After the election, in late December 2016, the United States imposed sanctions on Russia for having interfered in the election.  ",the United States,Russia ,sanction,16-Dec,,negative,,,,
9,"By early 2017, several congressional committees were examining Russia's interference in the election. ",congressional committees,Russia,examination,2017,,neutral,,,,
9,"The order appointing the Special Counsel authorized him to  investigate  ""the Russian government's efforts to  interfere  in the  2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign. ",Special Counsel,Russian government,investigation,2017,,neutral,,,,
9,"The order appointing the Special Counsel authorized him to  investigate  ""the Russian government's efforts to  interfere  in the  2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign. ",Russian government,Trump Campaign,coordination,,2016,positive,,,,
9,"As set forth in detail in this report, the Special Counsel's investigation established that Russia interfere in the 2016 presidential election principally through two operations.  ",Special Counsel,Russia,investigation,,2017,neutral,,,,
9,"First, a Russian entity carried out a social media Campaign that favored presidential candidate Donald J. Trump and disparaged presidential candidate Clinton. ",a Russian entity,Donald J. Trump,media Campaign endorsement,2016,,positive,,,,
